2019/07/17 21:30:29.508 [D]  Init All Success!!
2019/07/17 21:30:52.022 [D]  Partition:0, Offset:19743, Key:, Value:2019/07/17 21:26:10.040 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:52.133 [D]  Partition:0, Offset:19744, Key:, Value:2019/07/17 21:26:10.040 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:52.234 [D]  Partition:0, Offset:19745, Key:, Value:2019/07/17 21:26:10.040 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:52.335 [D]  Partition:0, Offset:19746, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:52.425 [D]  Partition:0, Offset:19747, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:52.543 [D]  Partition:0, Offset:19748, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/192.168.162.1" create_revision:35 mod_revision:36 version:2 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:30:52.633 [D]  Partition:0, Offset:19749, Key:, Value:2019/07/17 21:26:10.041 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:30:52.735 [D]  Partition:0, Offset:19750, Key:, Value:2019/07/17 21:26:10.042 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:52.966 [D]  Partition:0, Offset:19751, Key:, Value:2019/07/17 21:26:10.042 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:53.109 [D]  Partition:0, Offset:19752, Key:, Value:2019/07/17 21:26:10.042 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:30:53.227 [D]  Partition:0, Offset:19753, Key:, Value:2019/07/17 21:26:10.043 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/10.254.124.191" create_revision:25 mod_revision:48 version:18 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
